age,fnlwgt,education,education_num,capital_gain,capital_loss,hours_per_week,income
59,81929,Doctorate,16,0,2415,45,1
50,167793,Prof-school,15,0,2415,60,1
46,456062,Doctorate,16,0,2415,55,1
53,105478,Bachelors,13,0,2415,40,1
50,42402,Prof-school,15,0,2415,30,1
41,114580,Prof-school,15,0,2415,55,1
36,346478,Bachelors,13,0,2415,45,1
38,187870,Prof-school,15,0,2415,90,1
54,35576,Some-college,10,0,2415,50,1
50,102346,Bachelors,13,0,2415,20,1
47,148995,Bachelors,13,0,2415,60,1
47,102308,Prof-school,15,0,2415,45,1
67,105252,Bachelors,13,0,2392,40,1
67,106175,Bachelors,13,0,2392,75,1
72,52138,Doctorate,16,0,2392,25,1
72,118902,Doctorate,16,0,2392,6,1
46,191978,Masters,14,0,2392,50,1
78,188044,Bachelors,13,0,2392,40,1
71,66624,Bachelors,13,0,2392,60,1
83,153183,Bachelors,13,0,2392,55,1
68,211287,Masters,14,0,2392,40,1
26,181655,Assoc-voc,11,0,2377,45,0
68,235882,Doctorate,16,0,2377,60,1
49,158685,HS-grad,9,0,2377,40,1
36,370767,HS-grad,9,0,2377,60,0
70,155141,Bachelors,13,0,2377,12,1
27,156516,Some-college,10,0,2377,20,0
35,177305,Some-college,10,0,2377,40,0
23,162945,HS-grad,9,0,2377,40,0
81,177408,HS-grad,9,0,2377,26,1
66,427422,Doctorate,16,0,2377,25,1
71,152307,HS-grad,9,0,2377,45,1
68,218637,Some-college,10,0,2377,55,1
68,202699,Masters,14,0,2377,42,1
65,240857,Bachelors,13,0,2377,40,1
52,222405,HS-grad,9,0,2377,40,0
40,110862,Assoc-acdm,12,0,2377,50,0
68,257269,Bachelors,13,0,2377,35,1
21,377931,Some-college,10,0,2377,48,0
35,192923,HS-grad,9,0,2377,40,0
70,207938,Bachelors,13,0,2377,50,1
61,36671,HS-grad,9,0,2352,50,0
65,81413,HS-grad,9,0,2352,65,0
46,214955,5th-6th,3,0,2339,45,0
26,166295,Bachelors,13,0,2339,55,0
59,147707,HS-grad,9,0,2339,40,0
61,43554,5th-6th,3,0,2339,40,0
60,358893,Bachelors,13,0,2339,40,0
49,141058,Some-college,10,0,2339,50,0
34,25322,Bachelors,13,0,2339,40,0
25,77071,Bachelors,13,0,2339,35,0
55,158702,Some-college,10,0,2339,45,0
59,171328,HS-grad,9,0,2339,40,0
28,381789,Some-college,10,0,2339,40,0
43,152569,Assoc-voc,11,0,2339,36,0
56,346635,Masters,14,0,2339,60,0
41,162140,HS-grad,9,0,2339,40,0
42,191765,HS-grad,9,0,2339,40,0
28,251905,Prof-school,15,0,2339,40,0
40,33310,Prof-school,15,0,2339,35,0
69,228921,Bachelors,13,0,2282,40,1
66,36364,HS-grad,9,0,2267,40,0
69,124930,5th-6th,3,0,2267,40,0
55,176046,Masters,14,0,2267,40,0
57,370890,HS-grad,9,0,2258,40,0
20,157145,Some-college,10,0,2258,10,0
33,288825,HS-grad,9,0,2258,84,0
30,257295,Some-college,10,0,2258,40,0
40,287983,Bachelors,13,0,2258,48,0
38,101978,Some-college,10,0,2258,55,1
46,192779,Assoc-acdm,12,0,2258,38,1
29,135296,Bachelors,13,0,2258,45,1
57,199114,Bachelors,13,0,2258,40,0
39,156897,HS-grad,9,0,2258,42,1
47,138107,Bachelors,13,0,2258,40,1
26,279833,Bachelors,13,0,2258,45,1
27,208577,HS-grad,9,0,2258,50,0
23,102942,Bachelors,13,0,2258,40,1
34,36385,Masters,14,0,2258,50,0
33,176185,12th,8,0,2258,42,0
38,162613,Masters,14,0,2258,60,0
57,121362,Some-college,10,0,2258,38,1
36,145933,HS-grad,9,0,2258,70,0
44,29591,Bachelors,13,0,2258,40,1
49,269417,Doctorate,16,0,2258,50,1
44,178510,Some-college,10,0,2258,60,0
55,41108,Some-college,10,0,2258,62,1
45,187901,HS-grad,9,0,2258,44,1
48,175070,HS-grad,9,0,2258,40,1
31,263561,Bachelors,13,0,2246,45,1
55,99131,HS-grad,9,0,2246,40,1
70,143833,Some-college,10,0,2246,40,1
70,124449,Masters,14,0,2246,8,1
73,336007,Bachelors,13,0,2246,40,1
72,285408,Prof-school,15,0,2246,28,1
31,327825,HS-grad,9,0,2238,40,0
28,129460,10th,6,0,2238,35,0
23,258298,Bachelors,13,0,2231,40,1
49,102359,9th,5,0,2231,40,1
27,92431,Some-college,10,0,2231,40,1
90,51744,HS-grad,9,0,2206,40,0
68,166149,HS-grad,9,0,2206,30,0
65,149811,HS-grad,9,0,2206,59,0
65,143118,HS-grad,9,0,2206,10,0
67,118363,Bachelors,13,0,2206,5,0
66,362165,Bachelors,13,0,2206,25,0
24,379066,Some-college,10,0,2205,24,0
44,171424,Some-college,10,0,2205,35,0
35,108293,Some-college,10,0,2205,40,0
20,107801,Assoc-acdm,12,0,2205,18,0
38,126675,HS-grad,9,0,2205,40,0
39,155603,Some-college,10,0,2205,40,0
32,27882,Some-college,10,0,2205,40,0
42,242564,7th-8th,4,0,2205,40,0
63,234083,HS-grad,9,0,2205,40,0
42,23510,Masters,14,0,2201,60,1
64,181232,11th,7,0,2179,40,0
28,166481,7th-8th,4,0,2179,40,0
41,139916,Assoc-voc,11,0,2179,84,0
41,144594,7th-8th,4,0,2179,40,0
58,266707,1st-4th,2,0,2179,18,0
59,303176,Some-college,10,0,2179,40,0
34,56460,HS-grad,9,0,2179,12,0
45,167523,HS-grad,9,0,2179,45,0
29,119004,HS-grad,9,0,2179,40,0
47,175925,10th,6,0,2179,52,0
40,212847,Some-college,10,0,2179,40,0
47,191175,5th-6th,3,0,2179,50,0
63,83043,Bachelors,13,0,2179,45,0
41,170214,HS-grad,9,0,2179,40,0
34,180714,Some-college,10,0,2179,40,0
66,177351,Bachelors,13,0,2174,40,1
65,111483,Some-college,10,0,2174,10,1
70,282642,HS-grad,9,0,2174,40,1
75,309955,Prof-school,15,0,2174,50,1
65,215908,HS-grad,9,0,2174,40,1
65,23494,Some-college,10,0,2174,40,1
73,147551,Some-college,10,0,2174,50,1
60,141221,Bachelors,13,0,2163,25,0
68,116903,Assoc-voc,11,0,2149,40,0
74,119129,HS-grad,9,0,2149,20,0
43,143582,5th-6th,3,0,2129,72,0
19,342384,11th,7,0,2129,55,0
37,68899,HS-grad,9,0,2129,40,0
45,207107,Assoc-acdm,12,0,2080,40,0
64,149044,Masters,14,0,2057,60,0
30,148524,HS-grad,9,0,2057,40,0
51,268639,Some-college,10,0,2057,60,0
35,272019,11th,7,0,2057,40,0
29,239753,HS-grad,9,0,2057,20,0
34,199864,Some-college,10,0,2057,40,0
41,125831,HS-grad,9,0,2051,60,0
35,67728,Some-college,10,0,2051,45,0
26,115717,Some-college,10,0,2051,40,0
54,172281,HS-grad,9,0,2051,50,0
52,305053,HS-grad,9,0,2051,40,0
50,105010,HS-grad,9,0,2051,20,0
31,291052,Some-college,10,0,2051,40,0
38,248919,HS-grad,9,0,2051,40,0
30,84119,Some-college,10,0,2051,40,0
34,105540,Bachelors,13,0,2051,40,0
31,161765,Some-college,10,0,2051,57,0
52,195635,HS-grad,9,0,2051,38,0
54,816750,HS-grad,9,0,2051,40,0
38,160192,HS-grad,9,0,2051,44,0
39,136081,HS-grad,9,0,2051,40,0
29,244473,Assoc-voc,11,0,2051,40,0
45,187033,HS-grad,9,0,2051,40,0
34,265807,HS-grad,9,0,2051,55,0
38,154410,HS-grad,9,0,2051,40,0
39,314007,10th,6,0,2051,40,0
61,179743,HS-grad,9,0,2051,20,0
43,117037,11th,7,0,2042,40,0
35,40135,Some-college,10,0,2042,40,0
46,315423,Some-college,10,0,2042,50,0
38,35429,HS-grad,9,0,2042,40,0
42,120837,HS-grad,9,0,2042,48,0
34,90614,Assoc-acdm,12,0,2042,10,0
29,202878,7th-8th,4,0,2042,40,0
32,260954,11th,7,0,2042,30,0
60,127084,HS-grad,9,0,2042,34,0
49,107231,HS-grad,9,0,2002,40,0
53,135102,HS-grad,9,0,2002,45,0
56,201822,7th-8th,4,0,2002,40,0
48,413363,11th,7,0,2002,40,0
32,148138,Bachelors,13,0,2002,40,0
42,170721,HS-grad,9,0,2002,40,0
32,102858,Assoc-acdm,12,0,2002,42,0
28,175262,Assoc-acdm,12,0,2002,40,0
26,36936,Assoc-voc,11,0,2002,40,0
59,169982,Bachelors,13,0,2002,50,0
47,208407,Bachelors,13,0,2002,30,0
26,131777,Bachelors,13,0,2002,40,0
41,41090,HS-grad,9,0,2002,60,0
36,183739,HS-grad,9,0,2002,40,0
45,357540,Bachelors,13,0,2002,55,0
30,48520,Assoc-acdm,12,0,2002,40,0
36,107916,HS-grad,9,0,2002,40,0
34,198613,HS-grad,9,0,2002,40,0
53,283743,HS-grad,9,0,2002,40,0
51,210940,HS-grad,9,0,2002,45,0
47,355978,Doctorate,16,0,2002,45,0
19,241616,HS-grad,9,0,2001,40,0
30,57651,HS-grad,9,0,2001,42,0
20,315877,HS-grad,9,0,2001,40,0
42,74680,Masters,14,0,2001,60,0
31,454508,11th,7,0,2001,40,0
33,202046,Bachelors,13,0,2001,40,0
25,121102,Assoc-acdm,12,0,2001,30,0
20,146879,HS-grad,9,0,2001,40,0
23,213955,HS-grad,9,0,2001,40,0
55,123382,HS-grad,9,0,2001,40,0
41,277783,Some-college,10,0,2001,50,0
54,199741,HS-grad,9,0,2001,35,0
25,378322,HS-grad,9,0,2001,50,0
19,264390,Some-college,10,0,2001,40,0
24,210029,HS-grad,9,0,2001,37,0
56,61885,Bachelors,13,0,2001,65,0
21,102942,Some-college,10,0,2001,40,0
34,209297,HS-grad,9,0,2001,40,0
19,198459,HS-grad,9,0,2001,40,0
21,40052,Some-college,10,0,2001,45,0
48,93476,HS-grad,9,0,2001,40,0
34,174789,Bachelors,13,0,2001,40,0
31,189759,HS-grad,9,0,2001,40,0
36,297847,HS-grad,9,0,2001,40,0
27,124953,HS-grad,9,0,1980,40,0
27,116358,Some-college,10,0,1980,40,0
35,187119,Bachelors,13,0,1980,65,0
31,161745,Bachelors,13,0,1980,60,0
27,469705,HS-grad,9,0,1980,40,0
28,304960,Assoc-acdm,12,0,1980,40,0
42,175935,HS-grad,9,0,1980,46,0
44,355728,Some-college,10,0,1980,45,0
41,53956,Bachelors,13,0,1980,56,0
28,184723,Bachelors,13,0,1980,35,0
41,185616,HS-grad,9,0,1980,40,0
35,54595,10th,6,0,1980,40,0
58,126104,Masters,14,0,1980,45,0
40,139193,HS-grad,9,0,1980,48,0
31,184306,Assoc-voc,11,0,1980,60,0
30,207301,HS-grad,9,0,1980,40,0
32,199529,Some-college,10,0,1980,40,0
25,111058,Some-college,10,0,1980,40,0
34,198103,HS-grad,9,0,1980,40,0
56,34626,Some-college,10,0,1980,40,0
45,100651,HS-grad,9,0,1980,40,0
50,104501,HS-grad,9,0,1980,40,0
27,132805,10th,6,0,1980,40,0
51,96062,Some-college,10,0,1977,40,1
40,207578,Assoc-acdm,12,0,1977,60,1
41,445382,Masters,14,0,1977,65,1
49,192776,Masters,14,0,1977,45,1
37,22463,Assoc-voc,11,0,1977,40,1
36,108293,Bachelors,13,0,1977,45,1
35,199352,Prof-school,15,0,1977,80,1
29,260729,HS-grad,9,0,1977,25,1
50,133963,Bachelors,13,0,1977,40,1
46,129007,Bachelors,13,0,1977,40,1
44,179557,HS-grad,9,0,1977,45,1
42,111252,Masters,14,0,1977,40,1
38,338320,Prof-school,15,0,1977,50,1
45,192835,Bachelors,13,0,1977,55,1
43,147328,Masters,14,0,1977,60,1
47,139268,Prof-school,15,0,1977,60,1
58,349910,Prof-school,15,0,1977,50,1
48,331482,Prof-school,15,0,1977,40,1
42,245307,Bachelors,13,0,1977,48,1
55,153484,Masters,14,0,1977,50,1
51,252903,10th,6,0,1977,40,1
32,295589,Masters,14,0,1977,40,1
45,160472,Bachelors,13,0,1977,50,1
56,192869,Masters,14,0,1977,44,1
38,234901,Masters,14,0,1977,60,1
45,33300,Assoc-voc,11,0,1977,50,1
49,101825,Masters,14,0,1977,40,1
36,183612,HS-grad,9,0,1977,40,1
49,185041,Masters,14,0,1977,40,1
30,315640,Doctorate,16,0,1977,40,1
42,123838,Prof-school,15,0,1977,50,1
55,31905,Masters,14,0,1977,40,1
34,181091,Bachelors,13,0,1977,45,1
54,88278,Doctorate,16,0,1977,50,1
42,323790,Bachelors,13,0,1977,70,1
25,90730,Bachelors,13,0,1977,40,1
55,138594,HS-grad,9,0,1977,45,1
58,194068,Masters,14,0,1977,50,1
62,218009,HS-grad,9,0,1977,60,1
43,221172,Prof-school,15,0,1977,40,1
57,174132,Masters,14,0,1977,40,1
42,277256,Doctorate,16,0,1977,60,1
63,35021,Bachelors,13,0,1977,32,1
47,213668,Prof-school,15,0,1977,50,1
37,99146,Bachelors,13,0,1977,50,1
40,209547,Bachelors,13,0,1977,60,1
43,118308,Bachelors,13,0,1977,50,1
43,33331,Prof-school,15,0,1977,70,1
41,200574,Prof-school,15,0,1977,60,1
32,204374,Prof-school,15,0,1977,60,1
47,189680,Bachelors,13,0,1977,40,1
39,175232,Some-college,10,0,1977,60,1
53,193720,Some-college,10,0,1977,40,1
34,189759,Bachelors,13,0,1977,45,1
36,32776,Bachelors,13,0,1977,40,1
47,285060,Masters,14,0,1977,41,1
52,23780,Assoc-voc,11,0,1977,45,1
40,284706,Prof-school,15,0,1977,60,1
42,130126,Bachelors,13,0,1977,40,1
51,102615,Masters,14,0,1977,40,1
55,208311,Masters,14,0,1977,20,1
38,111499,HS-grad,9,0,1977,99,1
52,139671,Some-college,10,0,1977,50,1
60,165630,HS-grad,9,0,1977,40,1
55,124808,Assoc-voc,11,0,1977,50,1
47,29819,Masters,14,0,1977,50,1
46,102771,Masters,14,0,1977,40,1
35,86648,Masters,14,0,1977,45,1
59,223215,Bachelors,13,0,1977,50,1
57,437727,Masters,14,0,1977,45,1
46,167515,Some-college,10,0,1977,50,1
46,213140,Masters,14,0,1977,40,1
52,168553,HS-grad,9,0,1977,40,1
45,363677,Doctorate,16,0,1977,30,1
37,241998,Bachelors,13,0,1977,40,1
46,337050,Masters,14,0,1977,45,1
44,157249,Bachelors,13,0,1977,50,1
45,84298,Assoc-voc,11,0,1977,50,1
43,55213,HS-grad,9,0,1977,52,1
54,185846,Masters,14,0,1977,40,1
50,150999,Masters,14,0,1977,40,1
51,199688,Bachelors,13,0,1977,60,1
45,225456,Bachelors,13,0,1977,40,1
36,192939,Masters,14,0,1977,60,1
27,183627,Bachelors,13,0,1977,50,1
36,189404,Bachelors,13,0,1977,35,1
53,152810,Masters,14,0,1977,55,1
51,123011,Masters,14,0,1977,35,1
28,114158,Bachelors,13,0,1977,24,1
47,228660,Some-college,10,0,1977,40,1
45,233511,Bachelors,13,0,1977,60,1
45,159816,Masters,14,0,1977,35,1
39,202027,Prof-school,15,0,1977,50,1
39,218490,Bachelors,13,0,1977,40,1
55,248841,Masters,14,0,1977,40,1
62,71751,Some-college,10,0,1977,98,1
49,137192,Bachelors,13,0,1977,50,1
53,100109,Masters,14,0,1977,40,1
31,183043,Masters,14,0,1977,48,1
42,188738,HS-grad,9,0,1977,60,1
39,201410,Bachelors,13,0,1977,45,1
60,282066,Bachelors,13,0,1977,45,1
26,291968,Prof-school,15,0,1977,40,1
37,126569,Masters,14,0,1977,40,1
45,103406,Bachelors,13,0,1977,60,1
37,109133,Assoc-acdm,12,0,1977,45,1
32,195602,Bachelors,13,0,1977,45,1
39,135500,HS-grad,9,0,1977,40,1
58,147653,10th,6,0,1977,35,1
45,145636,Masters,14,0,1977,43,1
41,137126,Bachelors,13,0,1977,45,1
36,36270,HS-grad,9,0,1977,65,1
51,285747,Masters,14,0,1977,60,1
39,80324,Some-college,10,0,1977,62,1
56,94156,Prof-school,15,0,1977,50,1
53,271544,HS-grad,9,0,1977,40,1
40,175943,Assoc-voc,11,0,1977,15,1
57,141570,Masters,14,0,1977,40,1
50,124963,HS-grad,9,0,1977,35,1
34,112115,Prof-school,15,0,1977,55,1
35,99357,Bachelors,13,0,1977,30,1
30,404062,HS-grad,9,0,1977,15,1
53,200190,Masters,14,0,1977,55,1
31,207505,Doctorate,16,0,1977,70,1
37,135436,Bachelors,13,0,1977,60,1
34,345705,Bachelors,13,0,1977,50,1
36,126675,Masters,14,0,1977,50,1
40,107433,Bachelors,13,0,1977,50,1
51,230858,Some-college,10,0,1977,60,1
33,133503,HS-grad,9,0,1977,45,1
40,46990,Doctorate,16,0,1977,20,1
50,201689,7th-8th,4,0,1977,63,1
46,216414,Masters,14,0,1977,60,1
54,182314,Doctorate,16,0,1977,50,1
39,134367,Masters,14,0,1977,24,1
54,206964,Some-college,10,0,1977,40,1
31,147284,Doctorate,16,0,1977,99,1
51,172046,Masters,14,0,1977,50,1
55,175942,Doctorate,16,0,1977,55,1
36,145576,Masters,14,0,1977,40,1
41,93227,Bachelors,13,0,1977,60,1
56,48102,Some-college,10,0,1977,50,1
38,172538,Bachelors,13,0,1977,40,1
47,239865,HS-grad,9,0,1977,45,1
39,180686,Masters,14,0,1977,45,1
59,170104,Bachelors,13,0,1977,50,1
54,511668,Doctorate,16,0,1977,43,1
54,109418,Bachelors,13,0,1977,35,1
31,110643,Bachelors,13,0,1977,55,1
59,122390,Some-college,10,0,1977,48,1
46,261059,Masters,14,0,1977,50,1
57,140426,Doctorate,16,0,1977,40,1
36,386726,Masters,14,0,1977,44,1
44,340885,Bachelors,13,0,1977,40,1
33,149184,Prof-school,15,0,1977,50,1
54,308087,Some-college,10,0,1977,18,1
55,368797,Masters,14,0,1977,60,1
36,218689,Masters,14,0,1977,50,1
49,298445,Prof-school,15,0,1977,60,1
41,347653,Prof-school,15,0,1977,50,1
40,320451,Doctorate,16,0,1977,45,1
43,170730,Bachelors,13,0,1977,50,1
39,344855,Masters,14,0,1977,20,1
26,370727,Bachelors,13,0,1977,40,1
48,109814,Prof-school,15,0,1977,45,1
43,409922,Bachelors,13,0,1977,50,1
42,191196,Bachelors,13,0,1977,60,1
36,237943,Bachelors,13,0,1977,45,1
39,49020,Masters,14,0,1974,40,0
21,109414,Some-college,10,0,1974,40,0
23,275818,Some-college,10,0,1974,40,0
47,133758,HS-grad,9,0,1974,40,0
30,43953,HS-grad,9,0,1974,40,0
35,147258,Some-college,10,0,1974,40,0
26,58098,Some-college,10,0,1974,40,0
26,215384,Bachelors,13,0,1974,55,0
41,33068,Masters,14,0,1974,40,0
30,145692,Some-college,10,0,1974,40,0
28,111696,HS-grad,9,0,1974,40,0
56,105281,HS-grad,9,0,1974,40,0
35,200445,HS-grad,9,0,1974,40,0
34,258666,Assoc-voc,11,0,1974,40,0
29,214702,HS-grad,9,0,1974,35,0
23,188545,Assoc-acdm,12,0,1974,20,0
24,210736,HS-grad,9,0,1974,40,0
62,81116,Some-college,10,0,1974,40,0
77,71676,Some-college,10,0,1944,1,0
47,51835,Prof-school,15,0,1902,60,1
48,191277,Doctorate,16,0,1902,60,1
42,214242,Prof-school,15,0,1902,50,1
31,118710,Masters,14,0,1902,40,1
43,274363,Bachelors,13,0,1902,40,1
50,168212,Doctorate,16,0,1902,65,1
36,156667,Bachelors,13,0,1902,50,1
49,193960,Masters,14,0,1902,40,1
38,132879,HS-grad,9,0,1902,40,1
48,55863,Doctorate,16,0,1902,46,1
46,265266,Bachelors,13,0,1902,40,1
56,145574,HS-grad,9,0,1902,60,1
37,188540,HS-grad,9,0,1902,45,1
51,415287,HS-grad,9,0,1902,40,1
43,201723,Masters,14,0,1902,40,1
46,36228,HS-grad,9,0,1902,40,0
42,121718,Masters,14,0,1902,60,1
45,26522,Some-college,10,0,1902,35,1
23,196827,Some-college,10,0,1902,40,0
45,246891,Bachelors,13,0,1902,40,1
30,199539,HS-grad,9,0,1902,40,0
49,133917,Doctorate,16,0,1902,60,1
49,101320,Assoc-acdm,12,0,1902,40,1
57,98350,Prof-school,15,0,1902,40,1
42,157562,Bachelors,13,0,1902,80,1
43,105862,Some-college,10,0,1902,40,1
43,336513,Some-college,10,0,1902,40,1
42,378384,Prof-school,15,0,1902,60,1
53,104501,Bachelors,13,0,1902,55,1
40,244522,Masters,14,0,1902,48,1
46,324655,Masters,14,0,1902,40,1
41,84610,Bachelors,13,0,1902,60,1
49,329603,Bachelors,13,0,1902,40,1
31,348038,Bachelors,13,0,1902,50,1
34,299635,Masters,14,0,1902,50,1
40,298635,Masters,14,0,1902,40,1
50,184424,Some-college,10,0,1902,38,1
54,86837,HS-grad,9,0,1902,40,1
49,142287,Some-college,10,0,1902,50,1
44,402397,Masters,14,0,1902,60,1
57,118481,Bachelors,13,0,1902,40,1
28,250135,Masters,14,0,1902,55,0
57,20953,Some-college,10,0,1902,40,1
59,348430,Bachelors,13,0,1902,43,1
38,169926,Assoc-acdm,12,0,1902,40,1
36,283122,HS-grad,9,0,1902,60,1
55,323706,Some-college,10,0,1902,40,1
34,77209,HS-grad,9,0,1902,60,1
51,337195,Some-college,10,0,1902,50,1
46,377401,HS-grad,9,0,1902,70,1
33,111567,Masters,14,0,1902,45,1
31,181824,Bachelors,13,0,1902,35,1
31,37546,Bachelors,13,0,1902,35,1
59,325732,HS-grad,9,0,1902,52,1
48,194772,Assoc-acdm,12,0,1902,40,1
33,112115,Bachelors,13,0,1902,45,1
46,459189,Some-college,10,0,1902,50,1
53,608184,Bachelors,13,0,1902,40,1
39,165215,Masters,14,0,1902,18,1
44,124692,HS-grad,9,0,1902,40,1
45,360393,Masters,14,0,1902,50,1
42,188291,Bachelors,13,0,1902,40,1
24,322931,7th-8th,4,0,1902,40,1
57,173832,Bachelors,13,0,1902,40,1
51,176751,Bachelors,13,0,1902,40,1
50,320510,Bachelors,13,0,1902,40,1
50,162327,Bachelors,13,0,1902,50,1
52,108435,Masters,14,0,1902,50,1
46,328216,Bachelors,13,0,1902,42,1
44,68729,Some-college,10,0,1902,40,1
47,192894,Bachelors,13,0,1902,45,1
36,206951,Bachelors,13,0,1902,45,1
34,164190,Some-college,10,0,1902,38,1
49,148549,Bachelors,13,0,1902,50,1
45,198223,Bachelors,13,0,1902,45,1
46,172581,Bachelors,13,0,1902,50,1
53,96062,Bachelors,13,0,1902,48,1
63,194682,Doctorate,16,0,1902,50,1
52,143953,Bachelors,13,0,1902,40,1
44,286750,Bachelors,13,0,1902,40,1
37,200374,Bachelors,13,0,1902,40,1
44,136546,Doctorate,16,0,1902,40,1
53,139671,Bachelors,13,0,1902,40,1
32,175856,Bachelors,13,0,1902,40,1
50,289207,Doctorate,16,0,1902,45,1
42,108183,Masters,14,0,1902,40,1
50,138179,Assoc-acdm,12,0,1902,40,1
33,236396,Bachelors,13,0,1902,55,1
50,168672,Masters,14,0,1902,40,1
32,127610,Bachelors,13,0,1902,32,1
41,287306,HS-grad,9,0,1902,40,1
54,167770,HS-grad,9,0,1902,55,1
34,277314,Assoc-acdm,12,0,1902,50,1
41,140365,Bachelors,13,0,1902,55,1
39,239755,Prof-school,15,0,1902,50,1
42,52781,Masters,14,0,1902,40,1
31,201122,Bachelors,13,0,1902,45,1
45,341995,Assoc-voc,11,0,1902,42,1
41,106900,Bachelors,13,0,1902,42,1
48,140782,Masters,14,0,1902,38,1
32,161153,HS-grad,9,0,1902,55,1
41,267252,Some-college,10,0,1902,40,1
31,325355,Bachelors,13,0,1902,40,1
30,173858,Some-college,10,0,1902,40,1
41,352812,Some-college,10,0,1902,40,1
48,109832,Masters,14,0,1902,40,1
60,234854,Doctorate,16,0,1902,40,1
38,93206,Bachelors,13,0,1902,65,1
46,147640,5th-6th,3,0,1902,40,0
